id,name,addr:street,addr:city,phone,website,latitude,longitude,source_place,precise_location,hostel_source,verified,gender,monthly_price,room_type,wifi,food,laundry,parking,attached_bathroom,hot_water,study_room,power_backup,cctv,curfew,rating,review_count,description
1,Subekchya Hostel,,,,,27.6875866,85.333969,"Kathmandu, Nepal","Buddhnagar, Kathmandu",Real,Yes,,12000,Single,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,3.6,24,"Comfortable student hostel with WiFi, food and study environment."
2,Sunrise Boys Hostel,,,,,27.7023989,85.3230965,"Kathmandu, Nepal","Kalikasthan, Kathmandu",Real,Yes,,12500,Shared,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,4.2,15,"Comfortable student hostel with WiFi, food and study environment."
3,Swastika girls hostel,,,,,27.7021804,85.3243281,"Kathmandu, Nepal","Kalikasthan, Kathmandu",Real,Yes,,14000,Single,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,4.1,22,"Comfortable student hostel with WiFi, food and study environment."
4,Subha laxmi hostel pvt ltd,,,,,27.7018275,85.3247577,"Kathmandu, Nepal","Kalikasthan, Kathmandu",Real,Yes,,11000,Double,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,4.2,10,"Comfortable student hostel with WiFi, food and study environment."
5,Valley boys hostel,,,,,27.7024809,85.3249056,"Kathmandu, Nepal","Kalikasthan, Kathmandu",Real,Yes,,11500,Shared,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,3.6,28,"Comfortable student hostel with WiFi, food and study environment."
6,Happy Girls and Boys Hostel,,,,,27.7015087,85.3230729,"Kathmandu, Nepal","Kalikasthan, Kathmandu",Real,Yes,,11000,Single,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,3.9,21,"Comfortable student hostel with WiFi, food and study environment."
7,,,,,,27.735033,85.3300975,"Kathmandu, Nepal","Panipokhari, Kathmandu",Real,Yes,,10500,Single,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,3.9,10,"Comfortable student hostel with WiFi, food and study environment."
8,Desire Boys Hostel,,,,,27.6826542,85.3436206,"Kathmandu, Nepal","Koteshwar, Kathmandu",Real,Yes,,8500,Double,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,4.4,28,"Comfortable student hostel with WiFi, food and study environment."
9,Om Shanti Boys Hostel,,,,,27.6820567,85.3434662,"Kathmandu, Nepal","Koteshwar, Kathmandu",Real,Yes,,10000,Double,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,4.4,15,"Comfortable student hostel with WiFi, food and study environment."
10,Surakchya Girls Hostel,,,,,27.6827679,85.3436602,"Kathmandu, Nepal","Koteshwar, Kathmandu",Real,Yes,,12000,Double,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,3.8,8,"Comfortable student hostel with WiFi, food and study environment."
