name,addr:street,addr:city,phone,website,latitude,longitude,source_place
Subekchya Hostel,,,,,27.6875866,85.333969,"Kathmandu, Nepal"
Sunrise Boys Hostel,,,,,27.7023989,85.3230965,"Kathmandu, Nepal"
Swastika girls hostel,,,,,27.7021804,85.3243281,"Kathmandu, Nepal"
Subha laxmi hostel pvt ltd,,,,,27.7018275,85.3247577,"Kathmandu, Nepal"
Valley boys hostel,,,,,27.7024809,85.3249056,"Kathmandu, Nepal"
Happy Girls and Boys Hostel,,,,,27.7015087,85.3230729,"Kathmandu, Nepal"
,,,,,27.735033,85.3300975,"Kathmandu, Nepal"
Desire Boys Hostel,,,,,27.6826542,85.3436206,"Kathmandu, Nepal"
Om Shanti Boys Hostel,,,,,27.6820567,85.3434662,"Kathmandu, Nepal"
Surakchya Girls Hostel,,,,,27.6827679,85.3436602,"Kathmandu, Nepal"
Maa's Boys Hostel,,,,,27.6823916,85.3360187,"Kathmandu, Nepal"
Smarika Girls Hostel,,,,,27.6834129,85.3343727,"Kathmandu, Nepal"
Siddharth Boys Hostel,,,,,27.6911084,85.3306021,"Kathmandu, Nepal"
Everest Girls Hostel,,,,,27.6909151,85.3292006,"Kathmandu, Nepal"
Paradise Girls Hostel,,,,,27.6941737,85.3338319,"Kathmandu, Nepal"
Unique Girls Hostel,,,,,27.7188548,85.3256329,"Kathmandu, Nepal"
Kantipur Girls Hostel,,,,,27.6911916,85.3411924,"Kathmandu, Nepal"
Safal Boys Hostel,,,,,27.7028306,85.3247662,"Kathmandu, Nepal"
Zenith Girls Hostel,,,,,27.7028364,85.3244484,"Kathmandu, Nepal"
Kanya Girls Hostel,,,,,27.6945778,85.3376328,"Kathmandu, Nepal"
Radhe Krishna Boys Hostel,,,,,27.7100441,85.3376149,"Kathmandu, Nepal"
Logo Girls Hostel,,,,,27.7082711,85.3377956,"Kathmandu, Nepal"
hostel,Sukubahal Galli,,+9779841787132,http://www.famoushousektm.com,27.7217794,85.3140337,"Kathmandu, Nepal"
Hotel Mirchi,,,,,27.7094241,85.3164452,"Kathmandu, Nepal"
Lotus Girls Hostel,,,,,27.7006235,85.3286254,"Kathmandu, Nepal"
Secret Garden Guesthouse,,,,,27.7152203,85.306707,"Kathmandu, Nepal"
Kamakshi Girls Hostel,Kalki Pushpa Marga,,9849091822,,27.6954402,85.3418733,"Kathmandu, Nepal"
Dormitory Nepal,Gitanjali marg,,+977-01-5161089,https://www.dormnepal.com/,27.7324951,85.3387416,"Kathmandu, Nepal"
kasthamandap  travellers  home ,Kaldhara Marg,,+9779813518975,,27.716799,85.3074375,"Kathmandu, Nepal"
Durga girls hostel,,,,,27.6878809,85.3313697,"Kathmandu, Nepal"
Andes House,,,,,27.7167237,85.3125162,"Kathmandu, Nepal"
The Happily Ever After Hostel,Thamel Road,Thamel,,,27.7166942,85.3123003,"Kathmandu, Nepal"
Dibyadurga boy's hostel,,,,,27.704602,85.3309887,"Kathmandu, Nepal"
Nova Boys Hostel,,,,,27.6845236,85.335204,"Kathmandu, Nepal"
Alobar1000,,,,,27.7156191,85.314336,"Kathmandu, Nepal"
Peaceful girlls hostel,Rudra Mati Marga,Kathmandu,,,27.6996632,85.3314711,"Kathmandu, Nepal"
Yakety Yak Hostel,Jyatha Street,,+97714266126,https://www.yaketyyakhostel.com/,27.7133876,85.31238,"Kathmandu, Nepal"
Yeti Hostel,,,,,27.7147676,85.3115462,"Kathmandu, Nepal"
Rambler hostel,,,,,27.7122545,85.3087259,"Kathmandu, Nepal"
Fat Farm Hostel & Kitchen,Jyatha Street,,+9779860180990,,27.7106369,85.3130796,"Kathmandu, Nepal"
Kamakshi Girl's Hostel,,,,,27.6931566,85.3442189,"Kathmandu, Nepal"
Kabeli Girls Hostel,,,,,27.7019365,85.3371432,"Kathmandu, Nepal"
Kathmandu Youth Hostel,,,,,27.7214452,85.3136846,"Kathmandu, Nepal"
K Hostel,,,,,27.7159784,85.3129389,"Kathmandu, Nepal"
Rosemary Hostel,Tahiti,,+9779841959517,https://www.rosemaryhostels.com/,27.7107743,85.3110553,"Kathmandu, Nepal"
8848 Hostel,,,,,27.7106834,85.3110574,"Kathmandu, Nepal"
Kastamandap Boys Hostel,,,,,27.6846361,85.3297095,"Kathmandu, Nepal"
Om Kathmandu Boys Hostel,,,980-7077799,,27.6828455,85.3367689,"Kathmandu, Nepal"
Ujwalo Sikshya Girls Hostel,,,,,27.7165827,85.3489471,"Kathmandu, Nepal"
Aruna Girls Hostel,,,,,27.7017602,85.3218581,"Kathmandu, Nepal"
Nepal Boys Hostel,,,014111533,,27.6834092,85.3444008,"Kathmandu, Nepal"
Memorial Girls Hostel,,Kathmandu,,,27.6961191,85.329452,"Kathmandu, Nepal"
Hamro Niwas Boys Hostel,,,015104514,,27.6827828,85.3424724,"Kathmandu, Nepal"
Dreams Boys Hostel,,,,,27.6818969,85.3403464,"Kathmandu, Nepal"
Study Boys Hostel,,,,,27.6752791,85.3396525,"Kathmandu, Nepal"
Global Boys Hostel,,,,,27.6837233,85.3434637,"Kathmandu, Nepal"
Triton Girls Hostel,,,,,27.6828002,85.3438558,"Kathmandu, Nepal"
Om Girls Hostel,,,,,27.6842699,85.3440833,"Kathmandu, Nepal"
Maa Durga Girls Hostel,,,,,27.6841484,85.3447888,"Kathmandu, Nepal"
Manya Girls Hostel,,,,,27.6849848,85.3445219,"Kathmandu, Nepal"
Aadhya Girls Hostel,,,,,27.6850877,85.3445308,"Kathmandu, Nepal"
Sajha Boys Hostel,,,,,27.683332,85.3485731,"Kathmandu, Nepal"
Om Mahalaxmi Boys Hostel,,,,,27.6853475,85.346078,"Kathmandu, Nepal"
Gravity Boys Hostel,,,,,27.6850417,85.3465679,"Kathmandu, Nepal"
Miracle Boys Hostel,,,,,27.6848992,85.346811,"Kathmandu, Nepal"
Shree Laxmi Girls Hostel,,,,,27.6845296,85.3456197,"Kathmandu, Nepal"
Subhida Girls Hostel,,,0141111578,,27.6850739,85.3454484,"Kathmandu, Nepal"
Sanima Girls Hostel,,,,,27.6743045,85.3418041,"Kathmandu, Nepal"
Maa Pathivara Boys Hostel,,,,,27.6757376,85.3439978,"Kathmandu, Nepal"
Sanjivani Boys Hostel,,,014601152,,27.6781699,85.3417031,"Kathmandu, Nepal"
Ananda Bhumi Hostel,,,,,27.6804211,85.3454149,"Kathmandu, Nepal"
Aaha Boys Hostel,,,,,27.6809087,85.3399586,"Kathmandu, Nepal"
Sarlahi Boys Hostel,,,015908202,,27.6815789,85.3405492,"Kathmandu, Nepal"
Adriz Boys Home,,,,,27.6816664,85.3418485,"Kathmandu, Nepal"
Apuls Boys Hostel,,,,,27.6814032,85.3449915,"Kathmandu, Nepal"
Arigato Boys Hostel,,,,,27.6808082,85.345156,"Kathmandu, Nepal"
Paris Boys Hotel,,,,,27.6817485,85.3464158,"Kathmandu, Nepal"
The Nayak Boys Hostel,,,,,27.6798118,85.3468913,"Kathmandu, Nepal"
Boys Hostel,,,,,27.6802724,85.3486136,"Kathmandu, Nepal"
Himalayan Boys Hostel,,,,,27.6817519,85.347461,"Kathmandu, Nepal"
Greatwall Boys Hostel,,,,,27.682734,85.348647,"Kathmandu, Nepal"
Family Girls Hostel,,,,,27.6825094,85.34709,"Kathmandu, Nepal"
Aimers Boys Hostel,,,,,27.6836716,85.3471164,"Kathmandu, Nepal"
Sambriddhi Boys Hostel,,,,,27.6850936,85.3461127,"Kathmandu, Nepal"
Unique Boys Hostel,,,,,27.6846848,85.3451907,"Kathmandu, Nepal"
Subhasi Boys Hostel,,,,,27.6847045,85.3454509,"Kathmandu, Nepal"
Maitighar Girls Hostel,,,,,27.6847766,85.3456735,"Kathmandu, Nepal"
Aayan Boys Hostel,,,,,27.6852942,85.3455741,"Kathmandu, Nepal"
Marigold Boys Hostel,,,,,27.6811538,85.3435236,"Kathmandu, Nepal"
Trekkers Hostel,,,,,27.7130038,85.3092833,"Kathmandu, Nepal"
Divine Home Girls Hostel,,,,,27.675453,85.3396712,"Kathmandu, Nepal"
Family Boys Hostel,,,,,27.6742526,85.3417365,"Kathmandu, Nepal"
Divine Boys Hostel,,,,,27.6743288,85.3416164,"Kathmandu, Nepal"
Om Shivanandi Boys Hostel,,,,,27.6777447,85.3430175,"Kathmandu, Nepal"
Koteshwor Boys Hostel,,,,,27.6776332,85.3431803,"Kathmandu, Nepal"
Greenland Family Boys Hostel,,,,,27.6813051,85.3449604,"Kathmandu, Nepal"
Alert Boys Hostel,,,,,27.6811486,85.3449891,"Kathmandu, Nepal"
Koteshwor Youth Hostel,,,,,27.6802179,85.3484551,"Kathmandu, Nepal"
Beehive Hostel,,,,,27.7182151,85.3081648,"Kathmandu, Nepal"
Sathi Girls Hostel,,,9844064720,,27.6883989,85.3262438,"Kathmandu, Nepal"
Hello KTM Hostel,,,+9779843093645,https://www.helloktmhostel.com/,27.7156606,85.3057487,"Kathmandu, Nepal"
New Buddha Boy's Hostel,,,,,27.719372,85.348157,"Kathmandu, Nepal"
Everest Hostel,,,,,27.7075622,85.3248054,"Kathmandu, Nepal"
