name,addr:street,addr:city,phone,website,latitude,longitude,source_place,precise_location
Subekchya Hostel,,,,,27.6875866,85.333969,"Kathmandu, Nepal","Buddhnagar, Kathmandu"
Sunrise Boys Hostel,,,,,27.7023989,85.3230965,"Kathmandu, Nepal","Kalikasthan, Kathmandu"
Swastika girls hostel,,,,,27.7021804,85.3243281,"Kathmandu, Nepal","Kalikasthan, Kathmandu"
Subha laxmi hostel pvt ltd,,,,,27.7018275,85.3247577,"Kathmandu, Nepal","Kalikasthan, Kathmandu"
Valley boys hostel,,,,,27.7024809,85.3249056,"Kathmandu, Nepal","Kalikasthan, Kathmandu"
Happy Girls and Boys Hostel,,,,,27.7015087,85.3230729,"Kathmandu, Nepal","Kalikasthan, Kathmandu"
,,,,,27.735033,85.3300975,"Kathmandu, Nepal","Panipokhari, Kathmandu"
Desire Boys Hostel,,,,,27.6826542,85.3436206,"Kathmandu, Nepal","Koteshwar, Kathmandu"
Om Shanti Boys Hostel,,,,,27.6820567,85.3434662,"Kathmandu, Nepal","Koteshwar, Kathmandu"
Surakchya Girls Hostel,,,,,27.6827679,85.3436602,"Kathmandu, Nepal","Koteshwar, Kathmandu"
Maa's Boys Hostel,,,,,27.6823916,85.3360187,"Kathmandu, Nepal","Baneshwar, Kathmandu"
Smarika Girls Hostel,,,,,27.6834129,85.3343727,"Kathmandu, Nepal","Baneshwar, Kathmandu"
Siddharth Boys Hostel,,,,,27.6911084,85.3306021,"Kathmandu, Nepal","Buddhnagar, Kathmandu"
Everest Girls Hostel,,,,,27.6909151,85.3292006,"Kathmandu, Nepal","Buddhnagar, Kathmandu"
Paradise Girls Hostel,,,,,27.6941737,85.3338319,"Kathmandu, Nepal","Kathmandu-10, Kathmandu"
Unique Girls Hostel,,,,,27.7188548,85.3256329,"Kathmandu, Nepal","Nil Sarsaswati, Kathmandu"
Kantipur Girls Hostel,,,,,27.6911916,85.3411924,"Kathmandu, Nepal","Baneshwar, Kathmandu"
Safal Boys Hostel,,,,,27.7028306,85.3247662,"Kathmandu, Nepal","Kalikasthan, Kathmandu"
Zenith Girls Hostel,,,,,27.7028364,85.3244484,"Kathmandu, Nepal","Kalikasthan, Kathmandu"
Kanya Girls Hostel,,,,,27.6945778,85.3376328,"Kathmandu, Nepal","Baneshwar, Kathmandu"
Radhe Krishna Boys Hostel,,,,,27.7100441,85.3376149,"Kathmandu, Nepal","Chabahil, Kathmandu"
Logo Girls Hostel,,,,,27.7082711,85.3377956,"Kathmandu, Nepal","Chabahil, Kathmandu"
hostel,Sukubahal Galli,,+9779841787132,http://www.famoushousektm.com,27.7217794,85.3140337,"Kathmandu, Nepal","Lainchaur, Kathmandu"
Hotel Mirchi,,,,,27.7094241,85.3164452,"Kathmandu, Nepal","Kathmandu-01, Kathmandu"
Lotus Girls Hostel,,,,,27.7006235,85.3286254,"Kathmandu, Nepal","Ghattekulo, Kathmandu"
Secret Garden Guesthouse,,,,,27.7152203,85.306707,"Kathmandu, Nepal","Kathmandu-17, Kathmandu"
Kamakshi Girls Hostel,Kalki Pushpa Marga,,9849091822,,27.6954402,85.3418733,"Kathmandu, Nepal","Baneshwar, Kathmandu"
Dormitory Nepal,Gitanjali marg,,+977-01-5161089,https://www.dormnepal.com/,27.7324951,85.3387416,"Kathmandu, Nepal","Chundevi, Kathmandu"
kasthamandap  travellers  home ,Kaldhara Marg,,+9779813518975,,27.716799,85.3074375,"Kathmandu, Nepal","Nayabazar, Kathmandu"
Durga girls hostel,,,,,27.6878809,85.3313697,"Kathmandu, Nepal","Buddhnagar, Kathmandu"
Andes House,,,,,27.7167237,85.3125162,"Kathmandu, Nepal","Thamel, Kathmandu"
The Happily Ever After Hostel,Thamel Road,Thamel,,,27.7166942,85.3123003,"Kathmandu, Nepal","Thamel, Kathmandu"
Dibyadurga boy's hostel,,,,,27.704602,85.3309887,"Kathmandu, Nepal","Maitidevi, Kathmandu"
Nova Boys Hostel,,,,,27.6845236,85.335204,"Kathmandu, Nepal","Baneshwar, Kathmandu"
Alobar1000,,,,,27.7156191,85.314336,"Kathmandu, Nepal","Thamel, Kathmandu"
Peaceful girlls hostel,Rudra Mati Marga,Kathmandu,,,27.6996632,85.3314711,"Kathmandu, Nepal","Sano Gaucharan, Kathmandu"
Yakety Yak Hostel,Jyatha Street,,+97714266126,https://www.yaketyyakhostel.com/,27.7133876,85.31238,"Kathmandu, Nepal","Kathmandu-26, Kathmandu"
Yeti Hostel,,,,,27.7147676,85.3115462,"Kathmandu, Nepal","Thamel, Kathmandu"
Rambler hostel,,,,,27.7122545,85.3087259,"Kathmandu, Nepal","Kathmandu-17, Kathmandu"
Fat Farm Hostel & Kitchen,Jyatha Street,,+9779860180990,,27.7106369,85.3130796,"Kathmandu, Nepal","Kamalakshi, Kathmandu"
Kamakshi Girl's Hostel,,,,,27.6931566,85.3442189,"Kathmandu, Nepal","Baneshwar, Kathmandu"
Kabeli Girls Hostel,,,,,27.7019365,85.3371432,"Kathmandu, Nepal","Kathmandu-10, Kathmandu"
Kathmandu Youth Hostel,,,,,27.7214452,85.3136846,"Kathmandu, Nepal","Lainchaur, Kathmandu"
K Hostel,,,,,27.7159784,85.3129389,"Kathmandu, Nepal","Thamel, Kathmandu"
Rosemary Hostel,Tahiti,,+9779841959517,https://www.rosemaryhostels.com/,27.7107743,85.3110553,"Kathmandu, Nepal","Kathmandu-26, Kathmandu"
8848 Hostel,,,,,27.7106834,85.3110574,"Kathmandu, Nepal","Kathmandu-26, Kathmandu"
Kastamandap Boys Hostel,,,,,27.6846361,85.3297095,"Kathmandu, Nepal","Buddhnagar, Kathmandu"
Om Kathmandu Boys Hostel,,,980-7077799,,27.6828455,85.3367689,"Kathmandu, Nepal","Baneshwar, Kathmandu"
Ujwalo Sikshya Girls Hostel,,,,,27.7165827,85.3489471,"Kathmandu, Nepal","Chabahil, Kathmandu"
Aruna Girls Hostel,,,,,27.7017602,85.3218581,"Kathmandu, Nepal","Baghbazar, Kathmandu"
Nepal Boys Hostel,,,014111533,,27.6834092,85.3444008,"Kathmandu, Nepal","Koteshwar, Kathmandu"
Memorial Girls Hostel,,Kathmandu,,,27.6961191,85.329452,"Kathmandu, Nepal","Kathmandu-10, Kathmandu"
Hamro Niwas Boys Hostel,,,015104514,,27.6827828,85.3424724,"Kathmandu, Nepal","Koteshwar, Kathmandu"
Dreams Boys Hostel,,,,,27.6818969,85.3403464,"Kathmandu, Nepal","Koteshwar, Kathmandu"
Study Boys Hostel,,,,,27.6752791,85.3396525,"Kathmandu, Nepal","Koteshwar, Kathmandu"
Global Boys Hostel,,,,,27.6837233,85.3434637,"Kathmandu, Nepal","Koteshwar, Kathmandu"
Triton Girls Hostel,,,,,27.6828002,85.3438558,"Kathmandu, Nepal","Koteshwar, Kathmandu"
Om Girls Hostel,,,,,27.6842699,85.3440833,"Kathmandu, Nepal","Koteshwar, Kathmandu"
Maa Durga Girls Hostel,,,,,27.6841484,85.3447888,"Kathmandu, Nepal","Koteshwar, Kathmandu"
Manya Girls Hostel,,,,,27.6849848,85.3445219,"Kathmandu, Nepal","Koteshwar, Kathmandu"
Aadhya Girls Hostel,,,,,27.6850877,85.3445308,"Kathmandu, Nepal","Koteshwar, Kathmandu"
Sajha Boys Hostel,,,,,27.683332,85.3485731,"Kathmandu, Nepal","Koteshwar, Kathmandu"
Om Mahalaxmi Boys Hostel,,,,,27.6853475,85.346078,"Kathmandu, Nepal","Koteshwar, Kathmandu"
Gravity Boys Hostel,,,,,27.6850417,85.3465679,"Kathmandu, Nepal","Koteshwar, Kathmandu"
Miracle Boys Hostel,,,,,27.6848992,85.346811,"Kathmandu, Nepal","Koteshwar, Kathmandu"
Shree Laxmi Girls Hostel,,,,,27.6845296,85.3456197,"Kathmandu, Nepal","Koteshwar, Kathmandu"
Subhida Girls Hostel,,,0141111578,,27.6850739,85.3454484,"Kathmandu, Nepal","Koteshwar, Kathmandu"
Sanima Girls Hostel,,,,,27.6743045,85.3418041,"Kathmandu, Nepal","Koteshwar, Kathmandu"
Maa Pathivara Boys Hostel,,,,,27.6757376,85.3439978,"Kathmandu, Nepal","Koteshwar, Kathmandu"
Sanjivani Boys Hostel,,,014601152,,27.6781699,85.3417031,"Kathmandu, Nepal","Koteshwar, Kathmandu"
Ananda Bhumi Hostel,,,,,27.6804211,85.3454149,"Kathmandu, Nepal","Koteshwar, Kathmandu"
Aaha Boys Hostel,,,,,27.6809087,85.3399586,"Kathmandu, Nepal","Koteshwar, Kathmandu"
Sarlahi Boys Hostel,,,015908202,,27.6815789,85.3405492,"Kathmandu, Nepal","Koteshwar, Kathmandu"
